scenario_id,duration_type,weather_type,rain_prob,dust_level,hour,trip_goal,current_place_type,companion_type,adult_count,child_count,transport,activity_level,avg_stay_minutes,indoor_ratio,event_active,event_schedule_known,tags,hunger,fatigue,need_indoor,keep_mood,move_tolerance,kids_tolerance,photo_motivation,course_depth,next_scene,meal_style_primary,meal_style_secondary,confidence_grade
SCN_0022,full_day,sunny,20,normal,11,experience,festival,family_small,2,1,car,medium,95,0.3,1,1,family_friendly|festival_event|interactive|kids_friendly,0.85,0.6,0.0,0.3,0.5,0.5,0.2,4,meal,family_relaxed_meal,hearty_refuel_meal,A
SCN_0023,full_day,cloudy,40,bad,9,healing,indoor_culture,friends,3,0,car,low,65,0.95,0,0,indoor_comfort|quiet,0.3,0.3,0.3,0.6,0.75,1.0,0.2,4,indoor_visit,,,A
SCN_0024,2h,cloudy,30,bad,14,indoor,cafe_area,couple,2,0,car,low,50,0.7,0,0,indoor_comfort|scenic,0.2,0.15,0.3,0.5,0.5,1.0,0.3,2,indoor_visit,,,A
SCN_0025,half_day,sunny,5,normal,13,experience,nature,solo,1,0,car,medium,80,0.0,0,0,healing|interactive|quiet|scenic,0.85,0.45,0.0,0.7,0.7,1.0,0.3,3,meal,hearty_refuel_meal,warm_comfort_meal,A
SCN_0026,2h,cloudy,30,bad,12,indoor,history,family_small,2,1,car,medium,50,0.15,0,0,indoor_comfort|quiet,0.75,0.45,0.3,0.3,0.4,0.6,0.2,2,meal,family_relaxed_meal,light_quick_meal,A
SCN_0027,half_day,rainy,90,normal,9,healing,photo_spot,friends,3,0,car,medium,55,0.05,0,0,photo_friendly|scenic,0.3,0.35,0.45,0.8,0.7,1.0,0.4,3,indoor_visit,,,A
SCN_0028,half_day,rainy,70,normal,14,family,festival,family_large,2,3,car,medium,95,0.4,1,1,family_friendly|festival_event|interactive|kids_friendly,0.4,0.65,0.45,0.3,0.35,0.5,0.2,3,go_home,,,A
SCN_0029,half_day,cloudy,40,normal,16,photo,photo_spot,solo,1,0,public,medium,40,0.05,0,0,photo_friendly|scenic,0.3,0.35,0.0,0.75,0.5,1.0,0.9,3,sunset_finish,,,A
SCN_0030,2h,cloudy,40,normal,15,family,history,family_large,2,3,car,high,75,0.15,0,0,family_friendly|kids_friendly|quiet,0.5,0.8,0.1,0.3,0.15,0.4,0.2,2,go_home,,,A
SCN_0031,full_day,cloudy,30,good,10,healing,cafe_area,couple,2,0,public,low,35,0.6,0,0,indoor_comfort|scenic,0.2,0.2,0.0,0.8,0.55,1.0,0.3,4,short_walk,,,A
SCN_0032,2h,cloudy,20,good,13,healing,festival,couple,2,0,car,medium,90,0.4,1,1,family_friendly|festival_event|interactive|kids_friendly,0.85,0.45,0.0,0.6,0.5,1.0,0.2,2,meal,hearty_refuel_meal,quiet_rest_meal,A
SCN_0033,2h,sunny,5,good,13,healing,indoor_culture,family_medium,2,2,public,low,55,0.85,0,0,indoor_comfort|quiet,0.65,0.35,0.0,0.6,0.1,0.7,0.2,2,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0034,full_day,sunny,0,good,11,family,cafe_area,family_medium,2,2,car,low,40,0.7,0,0,family_friendly|indoor_comfort|kids_friendly|scenic,0.65,0.4,0.0,0.5,0.55,0.7,0.3,4,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0035,2h,sunny,15,normal,14,healing,history,friends,3,0,public,high,70,0.15,0,0,quiet,0.5,0.6,0.1,0.6,0.15,1.0,0.2,2,meal,quiet_rest_meal,warm_comfort_meal,A
SCN_0036,full_day,sunny,0,normal,16,family,cafe_area,solo,1,0,public,low,40,0.8,0,0,family_friendly|indoor_comfort|scenic,0.2,0.2,0.0,0.5,0.55,1.0,0.3,4,sunset_finish,,,A
SCN_0037,half_day,cloudy,20,good,12,healing,cafe_area,family_large,2,3,public,low,50,0.7,0,0,indoor_comfort|scenic,0.65,0.35,0.0,0.8,0.3,0.7,0.3,3,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0038,half_day,sunny,0,normal,13,experience,history,couple,2,0,car,high,75,0.15,0,0,interactive|quiet,0.95,0.6,0.1,0.3,0.55,1.0,0.2,3,meal,hearty_refuel_meal,warm_comfort_meal,A
SCN_0039,half_day,sunny,5,good,14,healing,indoor_culture,solo,1,0,public,low,65,1.0,0,0,indoor_comfort|quiet,0.3,0.25,0.0,0.6,0.5,1.0,0.2,3,short_walk,,,A
SCN_0040,full_day,rainy,60,good,12,experience,nature,family_small,2,1,car,high,55,0.1,0,0,healing|interactive|quiet|scenic,0.85,0.65,0.55,0.7,0.5,0.5,0.3,4,meal,family_relaxed_meal,hearty_refuel_meal,A
SCN_0041,half_day,rainy,90,good,11,family,cafe_area,couple,2,0,public,low,35,0.7,0,0,family_friendly|indoor_comfort|scenic,0.65,0.15,0.45,0.5,0.5,1.0,0.3,3,meal,warm_comfort_meal,family_relaxed_meal,A
SCN_0042,2h,rainy,60,bad,12,healing,festival,family_large,2,3,car,medium,65,0.4,1,1,family_friendly|festival_event|interactive|kids_friendly,0.85,0.65,0.75,0.6,0.15,0.5,0.2,2,meal,family_relaxed_meal,hearty_refuel_meal,A
SCN_0043,half_day,sunny,10,normal,12,healing,cafe_area,friends,3,0,car,low,50,0.6,0,0,indoor_comfort|scenic,0.65,0.15,0.0,0.8,0.7,1.0,0.3,3,meal,warm_comfort_meal,family_relaxed_meal,A
SCN_0044,full_day,sunny,15,good,8,family,festival,family_medium,2,2,car,medium,65,0.4,1,1,family_friendly|festival_event|interactive|kids_friendly,0.4,0.7,0.0,0.3,0.4,0.5,0.2,4,go_home,,,A
SCN_0045,2h,rainy,95,bad,16,healing,photo_spot,family_large,2,3,public,high,45,0.05,0,0,photo_friendly|scenic,0.4,0.7,0.85,0.8,0.0,0.5,0.4,2,cafe_rest,,,A
SCN_0046,half_day,sunny,5,bad,9,experience,indoor_culture,friends,3,0,car,low,50,0.95,0,0,indoor_comfort|interactive|quiet,0.2,0.15,0.3,0.3,0.7,1.0,0.2,3,indoor_visit,,,A
SCN_0047,full_day,rainy,60,good,14,experience,photo_spot,family_small,2,1,car,high,45,0.25,0,0,interactive|photo_friendly|scenic,0.4,0.65,0.45,0.5,0.5,0.5,0.4,4,cafe_rest,,,A
SCN_0048,full_day,cloudy,30,normal,12,family,history,family_medium,2,2,car,medium,75,0.15,0,0,family_friendly|kids_friendly|quiet,0.85,0.7,0.1,0.3,0.4,0.5,0.2,4,meal,family_relaxed_meal,hearty_refuel_meal,A
SCN_0049,2h,rainy,95,normal,11,experience,cafe_area,couple,2,0,car,low,50,0.7,0,0,indoor_comfort|interactive|scenic,0.65,0.15,0.45,0.5,0.5,1.0,0.3,2,meal,warm_comfort_meal,light_quick_meal,A
SCN_0050,half_day,cloudy,30,normal,14,family,history,family_large,2,3,public,medium,70,0.25,0,0,family_friendly|kids_friendly|quiet,0.4,0.65,0.0,0.3,0.15,0.5,0.2,3,go_home,,,A
SCN_0051,half_day,cloudy,60,normal,15,healing,cafe_area,family_large,2,3,car,low,60,0.8,0,0,indoor_comfort|scenic,0.3,0.45,0.45,0.8,0.5,0.6,0.3,3,cafe_rest,,,A
SCN_0052,2h,rainy,90,good,16,experience,photo_spot,family_small,2,1,car,high,40,0.25,0,0,interactive|photo_friendly|scenic,0.4,0.6,0.45,0.5,0.25,0.5,0.4,2,cafe_rest,,,A
SCN_0053,full_day,rainy,95,bad,10,photo,indoor_culture,solo,1,0,car,low,80,1.0,0,0,indoor_comfort|photo_friendly|quiet|scenic,0.3,0.3,0.75,0.75,0.75,1.0,0.8,4,sunset_finish,,,A
SCN_0054,2h,rainy,95,normal,12,indoor,history,friends,3,0,car,medium,70,0.35,0,0,indoor_comfort|quiet,0.85,0.45,0.45,0.3,0.5,1.0,0.2,2,meal,hearty_refuel_meal,warm_comfort_meal,A
SCN_0055,half_day,cloudy,50,good,10,healing,cafe_area,family_medium,2,2,car,low,35,0.8,0,0,indoor_comfort|scenic,0.2,0.35,0.0,0.8,0.5,0.7,0.3,3,short_walk,,,A
SCN_0056,half_day,cloudy,40,good,16,photo,cafe_area,family_large,2,3,car,low,40,0.8,0,0,indoor_comfort|photo_friendly|scenic,0.2,0.35,0.0,0.75,0.5,0.7,0.8,3,sunset_finish,,,A
SCN_0057,half_day,sunny,5,normal,14,indoor,photo_spot,friends,3,0,public,medium,55,0.05,0,0,indoor_comfort|photo_friendly|scenic,0.3,0.35,0.0,0.5,0.5,1.0,0.4,3,short_walk,,,A
SCN_0058,2h,sunny,15,normal,16,photo,history,solo,1,0,car,high,50,0.25,0,0,photo_friendly|quiet|scenic,0.4,0.5,0.0,0.75,0.5,1.0,0.8,2,sunset_finish,,,A
SCN_0059,full_day,cloudy,20,good,16,indoor,nature,family_medium,2,2,car,medium,70,0.0,0,0,healing|indoor_comfort|quiet|scenic,0.4,0.7,0.1,0.7,0.4,0.5,0.3,4,cafe_rest,,,A
SCN_0060,2h,sunny,15,normal,17,healing,photo_spot,friends,3,0,public,high,55,0.25,0,0,photo_friendly|scenic,0.8,0.5,0.0,0.8,0.3,1.0,0.4,2,meal,hearty_refuel_meal,quiet_rest_meal,A
SCN_0061,half_day,cloudy,20,normal,11,family,indoor_culture,family_small,2,1,car,low,65,0.85,0,0,family_friendly|indoor_comfort|kids_friendly|quiet,0.75,0.35,0.0,0.3,0.6,0.6,0.2,3,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0062,2h,rainy,95,normal,17,family,cafe_area,family_small,2,1,car,low,35,0.8,0,0,family_friendly|indoor_comfort|kids_friendly|scenic,0.6,0.25,0.45,0.5,0.4,0.7,0.3,2,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0063,half_day,rainy,70,normal,12,photo,indoor_culture,couple,2,0,public,low,65,0.95,0,0,indoor_comfort|photo_friendly|quiet|scenic,0.75,0.25,0.45,0.75,0.5,1.0,0.8,3,sunset_finish,,,A
SCN_0064,full_day,cloudy,50,bad,9,family,photo_spot,friends,3,0,public,medium,55,0.15,0,0,family_friendly|photo_friendly|scenic,0.3,0.4,0.3,0.5,0.55,1.0,0.4,4,cafe_rest,,,A
SCN_0065,full_day,cloudy,60,normal,10,experience,festival,couple,2,0,public,medium,80,0.4,1,1,family_friendly|festival_event|interactive|kids_friendly,0.4,0.5,0.45,0.3,0.55,1.0,0.2,4,cafe_rest,,,A
SCN_0066,2h,rainy,90,normal,16,photo,history,couple,2,0,public,medium,50,0.15,0,0,photo_friendly|quiet|scenic,0.3,0.35,0.45,0.75,0.3,1.0,0.8,2,sunset_finish,,,A
SCN_0067,half_day,rainy,95,good,11,photo,festival,family_small,2,1,car,medium,70,0.3,1,1,family_friendly|festival_event|interactive|kids_friendly|photo_friendly|scenic,0.85,0.55,0.45,0.75,0.6,0.5,0.8,3,meal,family_relaxed_meal,photo_brunch_meal,A
SCN_0068,2h,cloudy,30,normal,10,healing,indoor_culture,couple,2,0,car,low,55,0.95,0,0,indoor_comfort|quiet,0.2,0.15,0.0,0.6,0.5,1.0,0.2,2,short_walk,,,A
SCN_0069,2h,sunny,15,bad,17,healing,indoor_culture,couple,2,0,car,low,80,0.85,0,0,indoor_comfort|quiet,0.7,0.25,0.3,0.6,0.5,1.0,0.2,2,meal,warm_comfort_meal,light_quick_meal,A
SCN_0070,full_day,cloudy,50,normal,12,healing,photo_spot,couple,2,0,car,medium,40,0.25,0,0,photo_friendly|scenic,0.75,0.4,0.0,0.8,0.75,1.0,0.4,4,meal,warm_comfort_meal,family_relaxed_meal,A
SCN_0071,half_day,sunny,5,normal,11,indoor,cafe_area,family_large,2,3,car,low,60,0.8,0,0,indoor_comfort|scenic,0.75,0.45,0.0,0.5,0.5,0.6,0.3,3,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0072,2h,rainy,60,good,12,experience,cafe_area,couple,2,0,car,low,40,0.8,0,0,indoor_comfort|interactive|scenic,0.65,0.15,0.45,0.5,0.5,1.0,0.3,2,meal,warm_comfort_meal,light_quick_meal,A
SCN_0073,2h,cloudy,50,normal,13,indoor,festival,family_large,2,3,car,medium,80,0.4,1,1,family_friendly|festival_event|indoor_comfort|interactive|kids_friendly,0.85,0.65,0.0,0.3,0.15,0.5,0.2,2,meal,family_relaxed_meal,hearty_refuel_meal,A
SCN_0074,half_day,sunny,0,good,9,photo,history,couple,2,0,public,medium,50,0.25,0,0,photo_friendly|quiet|scenic,0.3,0.35,0.0,0.75,0.5,1.0,0.8,3,sunset_finish,,,A
SCN_0075,half_day,cloudy,30,good,16,indoor,history,family_small,2,1,car,medium,70,0.25,0,0,indoor_comfort|quiet,0.4,0.55,0.0,0.3,0.6,0.5,0.2,3,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0076,2h,rainy,80,normal,13,indoor,indoor_culture,family_small,2,1,car,low,50,0.85,0,0,indoor_comfort|quiet,0.65,0.25,0.45,0.3,0.4,0.7,0.2,2,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0077,2h,cloudy,30,normal,12,family,indoor_culture,family_medium,2,2,car,low,65,0.85,0,0,family_friendly|indoor_comfort|kids_friendly|quiet,0.75,0.45,0.0,0.3,0.3,0.6,0.2,2,meal,family_relaxed_meal,light_quick_meal,A
SCN_0078,full_day,cloudy,50,good,14,photo,cafe_area,family_large,2,3,car,low,65,0.7,0,0,indoor_comfort|photo_friendly|scenic,0.3,0.5,0.0,0.75,0.55,0.6,0.8,4,sunset_finish,,,A
SCN_0079,half_day,cloudy,30,good,12,indoor,cafe_area,friends,3,0,car,low,65,0.7,0,0,indoor_comfort|scenic,0.75,0.25,0.0,0.5,0.7,1.0,0.3,3,meal,warm_comfort_meal,family_relaxed_meal,A
SCN_0080,half_day,rainy,60,good,16,experience,indoor_culture,friends,3,0,car,low,65,0.85,0,0,indoor_comfort|interactive|quiet,0.3,0.25,0.45,0.3,0.7,1.0,0.2,3,indoor_backup,,,A
SCN_0081,half_day,sunny,20,normal,12,photo,cafe_area,friends,3,0,public,low,60,0.8,0,0,indoor_comfort|photo_friendly|scenic,0.75,0.25,0.0,0.75,0.5,1.0,0.8,3,sunset_finish,,,A
SCN_0082,half_day,sunny,5,normal,14,experience,photo_spot,family_small,2,1,public,medium,55,0.05,0,0,interactive|photo_friendly|scenic,0.3,0.45,0.0,0.5,0.4,0.6,0.4,3,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0083,half_day,sunny,20,good,16,indoor,indoor_culture,family_medium,2,2,car,low,75,0.95,0,0,indoor_comfort|quiet,0.3,0.45,0.0,0.3,0.5,0.6,0.2,3,sunset_finish,,,A
SCN_0084,2h,sunny,5,good,15,indoor,nature,family_large,2,3,car,medium,55,0.2,0,0,healing|indoor_comfort|quiet|scenic,0.3,0.55,0.1,0.7,0.3,0.6,0.3,2,cafe_rest,,,A
SCN_0085,full_day,cloudy,50,normal,11,experience,cafe_area,family_medium,2,2,car,low,40,0.6,0,0,indoor_comfort|interactive|scenic,0.65,0.4,0.0,0.5,0.55,0.7,0.3,4,meal,family_relaxed_meal,warm_comfort_meal,A
SCN_0086,2h,cloudy,40,normal,14,experience,festival,friends,3,0,public,medium,90,0.3,1,1,family_friendly|festival_event|interactive|kids_friendly,0.4,0.45,0.0,0.3,0.3,1.0,0.2,2,meal,light_quick_meal,warm_comfort_meal,A
SCN_0087,2h,sunny,0,bad,15,healing,indoor_culture,friends,3,0,car,low,50,0.95,0,0,indoor_comfort|quiet,0.2,0.15,0.3,0.6,0.5,1.0,0.2,2,indoor_visit,,,A
SCN_0088,full_day,rainy,70,bad,13,experience,nature,friends,3,0,car,medium,70,0.2,0,0,healing|interactive|quiet|scenic,0.85,0.5,0.75,0.7,0.75,1.0,0.3,4,meal,hearty_refuel_meal,warm_comfort_meal,A
SCN_0089,half_day,sunny,10,normal,14,experience,cafe_area,family_small,2,1,car,low,50,0.8,0,0,indoor_comfort|interactive|scenic,0.2,0.25,0.0,0.5,0.6,0.7,0.3,3,short_walk,,,A
SCN_0090,half_day,cloudy,30,normal,10,experience,indoor_culture,couple,2,0,car,low,65,0.95,0,0,indoor_comfort|interactive|quiet,0.3,0.25,0.0,0.3,0.7,1.0,0.2,3,short_walk,,,A
SCN_0091,full_day,cloudy,60,good,11,photo,festival,family_small,2,1,car,medium,90,0.2,1,1,family_friendly|festival_event|interactive|kids_friendly|photo_friendly|scenic,0.85,0.6,0.55,0.75,0.5,0.5,0.8,4,meal,family_relaxed_meal,photo_brunch_meal,A
SCN_0092,full_day,cloudy,60,bad,9,indoor,cafe_area,couple,2,0,public,low,40,0.6,0,0,indoor_comfort|scenic,0.2,0.2,0.75,0.5,0.55,1.0,0.3,4,indoor_visit,,,A
SCN_0093,2h,rainy,95,bad,16,family,indoor_culture,couple,2,0,public,low,75,1.0,0,0,family_friendly|indoor_comfort|quiet,0.3,0.25,0.75,0.3,0.3,1.0,0.2,2,indoor_backup,,,A
SCN_0094,2h,rainy,80,normal,10,indoor,festival,family_small,2,1,car,medium,65,0.2,1,1,family_friendly|festival_event|indoor_comfort|interactive|kids_friendly,0.4,0.55,0.55,0.3,0.4,0.5,0.2,2,indoor_backup,,,A
SCN_0095,half_day,sunny,5,bad,10,healing,photo_spot,solo,1,0,car,medium,45,0.15,0,0,photo_friendly|scenic,0.3,0.35,0.3,0.8,0.7,1.0,0.4,3,cafe_rest,,,A
SCN_0096,2h,sunny,5,normal,12,experience,festival,family_medium,2,2,car,medium,95,0.2,1,1,family_friendly|festival_event|interactive|kids_friendly,0.85,0.65,0.1,0.3,0.15,0.5,0.2,2,meal,family_relaxed_meal,hearty_refuel_meal,A
SCN_0097,2h,cloudy,50,normal,11,indoor,nature,friends,3,0,public,medium,60,0.0,0,0,healing|indoor_comfort|quiet|scenic,0.85,0.45,0.0,0.7,0.3,1.0,0.3,2,meal,hearty_refuel_meal,light_quick_meal,A
SCN_0098,2h,sunny,5,normal,13,healing,indoor_culture,family_large,2,3,car,low,65,0.85,0,0,indoor_comfort|quiet,0.75,0.45,0.0,0.6,0.3,0.6,0.2,2,meal,family_relaxed_meal,quiet_rest_meal,A
SCN_0099,2h,cloudy,60,normal,14,family,nature,solo,1,0,public,medium,70,0.1,0,0,family_friendly|healing|quiet|scenic,0.4,0.45,0.45,0.7,0.3,1.0,0.3,2,cafe_rest,,,A
SCN_0100,full_day,sunny,0,normal,8,indoor,photo_spot,solo,1,0,car,medium,70,0.25,0,0,indoor_comfort|photo_friendly|scenic,0.4,0.5,0.0,0.5,0.75,1.0,0.4,4,short_walk,,,A
SCN_0101,full_day,sunny,5,good,13,experience,cafe_area,friends,3,0,car,low,65,0.8,0,0,indoor_comfort|interactive|scenic,0.75,0.3,0.0,0.5,0.75,1.0,0.3,4,meal,warm_comfort_meal,family_relaxed_meal,A
SCN_0102,full_day,sunny,10,good,9,family,nature,family_medium,2,2,car,medium,80,0.1,0,0,family_friendly|healing|kids_friendly|quiet|scenic,0.4,0.7,0.1,0.7,0.4,0.5,0.3,4,go_home,,,A
SCN_0103,2h,sunny,20,bad,14,photo,history,family_large,2,3,public,medium,75,0.25,0,0,photo_friendly|quiet|scenic,0.4,0.65,0.3,0.75,0.0,0.5,0.8,2,sunset_finish,,,A
SCN_0104,2h,sunny,15,normal,11,photo,cafe_area,family_medium,2,2,car,low,60,0.7,0,0,indoor_comfort|photo_friendly|scenic,0.75,0.45,0.0,0.75,0.3,0.6,0.8,2,meal,family_relaxed_meal,photo_brunch_meal,A
SCN_0105,half_day,cloudy,20,normal,9,experience,cafe_area,family_small,2,1,car,low,40,0.7,0,0,indoor_comfort|interactive|scenic,0.2,0.25,0.0,0.5,0.6,0.7,0.3,3,short_walk,,,A
SCN_0106,half_day,sunny,5,good,13,indoor,cafe_area,solo,1,0,public,low,65,0.7,0,0,indoor_comfort|scenic,0.75,0.25,0.0,0.5,0.5,1.0,0.3,3,meal,warm_comfort_meal,family_relaxed_meal,A
SCN_0107,half_day,sunny,20,normal,9,indoor,indoor_culture,solo,1,0,car,low,50,0.95,0,0,indoor_comfort|quiet,0.2,0.15,0.0,0.3,0.7,1.0,0.2,3,indoor_visit,,,A
SCN_0108,2h,sunny,5,good,13,experience,festival,family_medium,2,2,car,medium,70,0.3,1,1,family_friendly|festival_event|interactive|kids_friendly,0.85,0.65,0.0,0.3,0.15,0.5,0.2,2,meal,family_relaxed_meal,hearty_refuel_meal,A
SCN_0109,2h,cloudy,40,normal,12,photo,photo_spot,friends,3,0,public,medium,45,0.15,0,0,photo_friendly|scenic,0.75,0.35,0.0,0.75,0.3,1.0,0.9,2,meal,photo_brunch_meal,light_quick_meal,A
SCN_0110,half_day,sunny,5,good,9,family,indoor_culture,family_small,2,1,car,low,50,0.95,0,0,family_friendly|indoor_comfort|kids_friendly|quiet,0.2,0.25,0.0,0.3,0.6,0.7,0.2,3,short_walk,,,A
SCN_0111,half_day,rainy,70,good,10,photo,photo_spot,friends,3,0,public,medium,40,0.05,0,0,photo_friendly|scenic,0.3,0.35,0.45,0.75,0.5,1.0,0.9,3,sunset_finish,,,A
SCN_0112,2h,rainy,70,normal,10,experience,history,family_large,2,3,car,medium,75,0.35,0,0,interactive|quiet,0.4,0.65,0.45,0.3,0.15,0.5,0.2,2,go_home,,,A
SCN_0113,half_day,sunny,5,normal,13,indoor,photo_spot,solo,1,0,car,medium,70,0.05,0,0,indoor_comfort|photo_friendly|scenic,0.85,0.45,0.0,0.5,0.7,1.0,0.4,3,meal,hearty_refuel_meal,warm_comfort_meal,A
SCN_0114,full_day,sunny,5,normal,14,photo,indoor_culture,couple,2,0,car,low,80,0.95,0,0,indoor_comfort|photo_friendly|quiet|scenic,0.3,0.3,0.0,0.75,0.75,1.0,0.8,4,sunset_finish,,,A
SCN_0115,full_day,sunny,10,normal,15,photo,nature,couple,2,0,public,medium,60,0.1,0,0,healing|photo_friendly|quiet|scenic,0.4,0.5,0.0,0.95,0.55,1.0,0.8,4,sunset_finish,,,A
SCN_0116,half_day,rainy,70,bad,16,indoor,nature,friends,3,0,public,high,85,0.2,0,0,healing|indoor_comfort|quiet|scenic,0.5,0.6,0.85,0.7,0.35,1.0,0.3,3,indoor_backup,,,A
SCN_0117,half_day,cloudy,40,good,12,photo,festival,solo,1,0,car,medium,70,0.4,1,1,family_friendly|festival_event|interactive|kids_friendly|photo_friendly|scenic,0.85,0.45,0.0,0.75,0.7,1.0,0.8,3,meal,photo_brunch_meal,hearty_refuel_meal,A
SCN_0118,2h,sunny,10,bad,10,experience,indoor_culture,family_medium,2,2,car,low,80,0.95,0,0,indoor_comfort|interactive|quiet,0.3,0.45,0.3,0.3,0.3,0.6,0.2,2,indoor_backup,,,A
